zip_code,city,state,address_example,overall_grade,violent_crime_grade,property_crime_grade,violent_crimes_per_1000,property_crimes_per_1000,total_crimes_per_1000,cost_of_crime_per_household_usd,confidence,retrievedAtUtc
64106,Kansas City,MO,6044 Maple Ave,B,B,B,3.8,14.8,18.6,446,0.89,2025-10-26T17:00:57.486ZZ
33101,Miami,FL,8402 Market St,B,B,C,5.7,20.3,26,394,0.89,2025-10-26T17:00:57.486ZZ
80202,Denver,CO,8324 Pine St,B,C,B,8.5,30.8,39.3,447,0.83,2025-10-26T17:00:57.486ZZ
72201,Little Rock,AR,8745 Peachtree St NE,D,B,C,25.3,77.7,103,996,0.89,2025-10-26T17:00:57.486ZZ
96813,Honolulu,HI,8710 Maple Ave,D,D,A,10.3,26.3,36.6,496,0.87,2025-10-26T17:00:57.486ZZ
60629,Chicago,IL,770 Broadway,C,A,C,11.8,46.9,58.7,654,0.94,2025-10-26T17:00:57.486ZZ
33132,Miami,FL,4253 1st Ave,B,D,F,3.3,9.1,12.4,378,0.81,2025-10-26T17:00:57.486ZZ
60629,Chicago,IL,8918 Market St,A,C,B,4,12.8,16.8,407,0.9,2025-10-26T17:00:57.486ZZ
48201,Detroit,MI,1446 Elm St,C,C,C,20,55.5,75.5,629,0.85,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,9496 Broadway,D,C,D,22.4,60.8,83.2,782,0.92,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,8146 Peachtree St NE,B,B,A,5.9,17.2,23.1,438,0.82,2025-10-26T17:00:57.486ZZ
90001,Los Angeles,CA,9642 Washington Ave,D,D,C,14.7,45.8,60.5,755,0.92,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,6161 Washington Ave,C,C,D,13.6,47.2,60.8,689,0.93,2025-10-26T17:00:57.486ZZ
98101,Seattle,WA,3628 Elm St,C,C,D,17.6,52.8,70.4,667,0.94,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,7226 Pine St,D,C,F,27.8,75.2,103,657,0.92,2025-10-26T17:00:57.486ZZ
85001,Phoenix,AZ,662 Broadway,F,C,C,44.4,142.2,186.6,1142,0.85,2025-10-26T17:00:57.486ZZ
33101,Miami,FL,3497 Peachtree St NE,D,D,B,18.6,64.8,83.4,573,0.9,2025-10-26T17:00:57.486ZZ
30303,Atlanta,GA,5306 Oak St,C,B,D,4.6,17.8,22.4,393,0.91,2025-10-26T17:00:57.486ZZ
20001,Washington,DC,6085 Cedar St,A,B,D,1,3.5,4.5,325,0.81,2025-10-26T17:00:57.486ZZ
37203,Nashville,TN,8781 Oak St,C,B,B,18.1,66.6,84.7,724,0.88,2025-10-26T17:00:57.486ZZ
10001,New York,NY,8019 Canal St,B,D,D,3.9,14.5,18.4,395,0.83,2025-10-26T17:00:57.486ZZ
37203,Nashville,TN,9279 Washington Ave,B,A,B,6.5,23.8,30.3,464,0.88,2025-10-26T17:00:57.486ZZ
96813,Honolulu,HI,7270 Main St,D,F,C,12.4,32.7,45.1,476,0.93,2025-10-26T17:00:57.486ZZ
10001,New York,NY,2051 Fulton St,A,A,C,2.1,6.6,8.7,357,0.95,2025-10-26T17:00:57.486ZZ
94103,San Francisco,CA,53 Peachtree St NE,D,D,D,16.4,65.4,81.8,814,0.92,2025-10-26T17:00:57.486ZZ
02115,Boston,MA,9951 Cedar St,B,D,A,6.1,23.4,29.5,393,0.91,2025-10-26T17:00:57.486ZZ
20001,Washington,DC,2374 Maple Ave,C,D,A,19.6,64.5,84.1,759,0.84,2025-10-26T17:00:57.486ZZ
11211,Brooklyn,NY,3699 1st Ave,F,C,B,49,152.3,201.3,1783,0.84,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,283 Fulton St,A,C,C,4,12.9,16.9,428,0.88,2025-10-26T17:00:57.486ZZ
48201,Detroit,MI,7790 Market St,A,C,C,4.4,16.6,21,420,0.92,2025-10-26T17:00:57.486ZZ
10001,New York,NY,6023 Cedar St,A,B,D,3.7,10.1,13.8,358,0.86,2025-10-26T17:00:57.486ZZ
80202,Denver,CO,4605 Broadway,C,D,D,8.7,32.7,41.4,480,0.9,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,6154 Washington Ave,C,F,A,16.8,58.4,75.2,775,0.81,2025-10-26T17:00:57.486ZZ
19104,Philadelphia,PA,7858 Lexington Ave,D,D,A,21.9,55.7,77.6,670,0.83,2025-10-26T17:00:57.486ZZ
33101,Miami,FL,4502 Fulton St,D,D,C,22.5,60,82.5,787,0.94,2025-10-26T17:00:57.486ZZ
37203,Nashville,TN,4435 Oak St,D,C,F,23.4,70,93.4,750,0.8,2025-10-26T17:00:57.486ZZ
20001,Washington,DC,567 Canal St,C,A,D,19.4,58.3,77.7,686,0.82,2025-10-26T17:00:57.486ZZ
75201,Dallas,TX,5548 Peachtree St NE,B,B,D,2.3,8,10.3,334,0.88,2025-10-26T17:00:57.486ZZ
11201,Brooklyn,NY,5371 Lexington Ave,A,D,C,3.8,12.7,16.5,396,0.84,2025-10-26T17:00:57.486ZZ
72201,Little Rock,AR,8776 Market St,C,D,D,18.6,69.8,88.4,846,0.9,2025-10-26T17:00:57.486ZZ
33132,Miami,FL,1755 Market St,B,D,D,2.1,6.9,9,352,0.95,2025-10-26T17:00:57.486ZZ
94102,San Francisco,CA,3505 Pine St,B,B,C,2.6,8.5,11.1,376,0.91,2025-10-26T17:00:57.486ZZ
90001,Los Angeles,CA,4954 1st Ave,C,D,A,13.8,42.8,56.6,549,0.89,2025-10-26T17:00:57.486ZZ
60629,Chicago,IL,1510 Lexington Ave,D,B,D,32.1,95.7,127.8,837,0.83,2025-10-26T17:00:57.486ZZ
94102,San Francisco,CA,6722 Elm St,D,A,B,22.5,80.7,103.2,823,0.92,2025-10-26T17:00:57.486ZZ
75201,Dallas,TX,9289 Maple Ave,B,F,C,2.1,7.6,9.7,371,0.87,2025-10-26T17:00:57.486ZZ
73102,Oklahoma City,OK,6802 Elm St,A,C,C,4.3,12.9,17.2,358,0.84,2025-10-26T17:00:57.486ZZ
80202,Denver,CO,9899 Canal St,D,C,F,9.2,31,40.2,556,0.83,2025-10-26T17:00:57.486ZZ
33101,Miami,FL,3647 Collins Ave,C,C,D,5.3,18.1,23.4,418,0.81,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,9363 Pine St,C,B,C,6.2,19.8,26,414,0.94,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,5135 Main St,C,C,B,6.4,20.8,27.2,472,0.92,2025-10-26T17:00:57.486ZZ
94103,San Francisco,CA,2751 Fulton St,F,B,C,45.1,160.3,205.4,1184,0.92,2025-10-26T17:00:57.486ZZ
90011,Los Angeles,CA,2662 Fulton St,B,C,D,5.1,16.4,21.5,394,0.93,2025-10-26T17:00:57.486ZZ
48201,Detroit,MI,1103 Maple Ave,C,C,B,16.7,47.6,64.3,534,0.87,2025-10-26T17:00:57.486ZZ
85001,Phoenix,AZ,8768 Pine St,D,B,D,19.3,64.5,83.8,723,0.88,2025-10-26T17:00:57.486ZZ
48201,Detroit,MI,7247 Elm St,F,D,C,29.4,82.7,112.1,1183,0.8,2025-10-26T17:00:57.486ZZ
48201,Detroit,MI,1154 Lexington Ave,D,B,A,7.5,25,32.5,399,0.87,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,8037 Broadway,B,D,C,7.8,22.8,30.6,463,0.93,2025-10-26T17:00:57.486ZZ
85001,Phoenix,AZ,7447 Collins Ave,C,D,B,16.9,53.2,70.1,564,0.82,2025-10-26T17:00:57.486ZZ
90011,Los Angeles,CA,3959 Broadway,B,A,C,3.6,12,15.6,383,0.86,2025-10-26T17:00:57.486ZZ
37203,Nashville,TN,5764 1st Ave,D,C,D,34.1,87.5,121.6,774,0.84,2025-10-26T17:00:57.486ZZ
30303,Atlanta,GA,4933 Lexington Ave,B,C,C,5.1,14.1,19.2,440,0.92,2025-10-26T17:00:57.486ZZ
90001,Los Angeles,CA,6255 Oak St,B,F,B,5.1,19,24.1,451,0.8,2025-10-26T17:00:57.486ZZ
20001,Washington,DC,5848 Market St,C,C,D,19.7,68.3,88,759,0.81,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,8955 Collins Ave,A,C,D,3.8,13.3,17.1,367,0.93,2025-10-26T17:00:57.486ZZ
90011,Los Angeles,CA,6253 Canal St,C,C,B,9.8,36,45.8,578,0.84,2025-10-26T17:00:57.486ZZ
10003,New York,NY,6780 Peachtree St NE,C,D,B,20,50.7,70.7,641,0.82,2025-10-26T17:00:57.486ZZ
10003,New York,NY,663 1st Ave,B,D,D,9.4,30.8,40.2,557,0.92,2025-10-26T17:00:57.486ZZ
19104,Philadelphia,PA,4145 1st Ave,D,D,B,15.4,42.8,58.2,715,0.88,2025-10-26T17:00:57.486ZZ
64106,Kansas City,MO,5817 Elm St,C,F,C,6.1,16.6,22.7,417,0.93,2025-10-26T17:00:57.486ZZ
94103,San Francisco,CA,7018 Market St,C,D,C,19.6,74.5,94.1,819,0.82,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,1586 Canal St,D,B,C,24.4,73.5,97.9,899,0.94,2025-10-26T17:00:57.486ZZ
77002,Houston,TX,3837 Main St,D,B,F,18.8,61,79.8,748,0.83,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,5692 Market St,C,D,D,8.1,27.6,35.7,462,0.83,2025-10-26T17:00:57.486ZZ
33101,Miami,FL,5052 Washington Ave,D,C,B,35,126.1,161.1,1257,0.81,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,642 Broadway,A,B,A,2,5.2,7.2,335,0.9,2025-10-26T17:00:57.486ZZ
10001,New York,NY,1709 Broadway,D,D,D,16.9,66,82.9,718,0.81,2025-10-26T17:00:57.486ZZ
96813,Honolulu,HI,6885 Cedar St,B,B,B,6,22.5,28.5,439,0.95,2025-10-26T17:00:57.486ZZ
10002,New York,NY,3422 Fulton St,D,D,D,33.1,123.9,157,998,0.91,2025-10-26T17:00:57.486ZZ
48201,Detroit,MI,3250 Peachtree St NE,C,D,C,17.5,50,67.5,594,0.84,2025-10-26T17:00:57.486ZZ
64106,Kansas City,MO,5103 Canal St,C,C,F,14.8,39.8,54.6,623,0.92,2025-10-26T17:00:57.486ZZ
10003,New York,NY,8263 Maple Ave,D,B,C,24.8,71.6,96.4,982,0.82,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,3205 Market St,A,B,D,4.8,12.4,17.2,369,0.81,2025-10-26T17:00:57.486ZZ
10001,New York,NY,6320 Collins Ave,C,D,C,12,32.1,44.1,485,0.95,2025-10-26T17:00:57.486ZZ
77002,Houston,TX,4682 Collins Ave,C,F,F,16.2,43,59.2,732,0.83,2025-10-26T17:00:57.486ZZ
90001,Los Angeles,CA,2281 Lexington Ave,D,F,D,11,41.6,52.6,640,0.89,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,1459 1st Ave,B,C,A,4.6,15.2,19.8,453,0.81,2025-10-26T17:00:57.486ZZ
30303,Atlanta,GA,431 Oak St,F,D,F,28.9,72.6,101.5,624,0.82,2025-10-26T17:00:57.486ZZ
73301,Austin,TX,4858 Broadway,C,B,D,9.1,32.4,41.5,486,0.8,2025-10-26T17:00:57.486ZZ
73301,Austin,TX,7046 Oak St,C,B,D,10.9,41.1,52,502,0.83,2025-10-26T17:00:57.486ZZ
72201,Little Rock,AR,5709 Oak St,D,C,D,22.6,62.6,85.2,760,0.82,2025-10-26T17:00:57.486ZZ
85001,Phoenix,AZ,2215 Collins Ave,D,C,C,20.6,78.5,99.1,903,0.93,2025-10-26T17:00:57.486ZZ
10001,New York,NY,4544 Broadway,D,D,B,30.6,84.5,115.1,1008,0.82,2025-10-26T17:00:57.486ZZ
19104,Philadelphia,PA,1150 Fulton St,C,D,D,6.7,22.1,28.8,455,0.89,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,4111 Broadway,B,D,D,8.2,24.8,33,505,0.94,2025-10-26T17:00:57.486ZZ
94102,San Francisco,CA,7850 Elm St,C,D,D,13.9,42.8,56.7,701,0.95,2025-10-26T17:00:57.486ZZ
64106,Kansas City,MO,1774 Canal St,F,C,C,37.6,119.2,156.8,1174,0.91,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,9415 Oak St,D,C,C,11.9,38.8,50.7,461,0.83,2025-10-26T17:00:57.486ZZ
90011,Los Angeles,CA,6394 Fulton St,A,C,B,2.4,8.8,11.2,347,0.84,2025-10-26T17:00:57.486ZZ
73102,Oklahoma City,OK,3165 1st Ave,C,B,A,4,11,15,398,0.93,2025-10-26T17:00:57.486ZZ
75201,Dallas,TX,4873 Canal St,D,C,D,20.7,71,91.7,617,0.89,2025-10-26T17:00:57.486ZZ
94103,San Francisco,CA,2162 Pine St,B,C,B,8.8,34,42.8,487,0.82,2025-10-26T17:00:57.486ZZ
72201,Little Rock,AR,1039 Fulton St,B,B,F,6.8,23.4,30.2,484,0.85,2025-10-26T17:00:57.486ZZ
72201,Little Rock,AR,802 Oak St,C,B,D,9,34.8,43.8,585,0.8,2025-10-26T17:00:57.486ZZ
94103,San Francisco,CA,5648 Maple Ave,B,C,A,4.1,14.1,18.2,437,0.89,2025-10-26T17:00:57.486ZZ
11211,Brooklyn,NY,2868 Pine St,B,C,C,8.6,26.6,35.2,457,0.81,2025-10-26T17:00:57.486ZZ
37203,Nashville,TN,6367 Peachtree St NE,D,D,B,10,39.3,49.3,514,0.91,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,8619 Canal St,B,D,C,6,18.5,24.5,428,0.89,2025-10-26T17:00:57.486ZZ
94103,San Francisco,CA,9337 Collins Ave,D,D,D,23.5,66.6,90.1,757,0.81,2025-10-26T17:00:57.486ZZ
19104,Philadelphia,PA,795 Elm St,A,D,C,4.6,12.8,17.4,414,0.81,2025-10-26T17:00:57.486ZZ
98101,Seattle,WA,9829 Fulton St,F,C,C,28.3,85.5,113.8,1195,0.87,2025-10-26T17:00:57.486ZZ
94102,San Francisco,CA,4488 Peachtree St NE,D,C,D,28.7,96.6,125.3,738,0.84,2025-10-26T17:00:57.486ZZ
96813,Honolulu,HI,481 Lexington Ave,D,B,C,19.4,76.2,95.6,622,0.95,2025-10-26T17:00:57.486ZZ
94102,San Francisco,CA,5159 Market St,C,A,B,8.3,27.4,35.7,536,0.94,2025-10-26T17:00:57.486ZZ
33132,Miami,FL,8447 Oak St,A,A,A,1.2,3.8,5,338,0.9,2025-10-26T17:00:57.486ZZ
73102,Oklahoma City,OK,4924 Maple Ave,A,C,B,4.3,10.8,15.1,365,0.88,2025-10-26T17:00:57.486ZZ
85001,Phoenix,AZ,6551 Collins Ave,C,D,A,18.5,62.5,81,776,0.85,2025-10-26T17:00:57.486ZZ
90011,Los Angeles,CA,9955 Maple Ave,A,A,B,3.7,10.2,13.9,349,0.82,2025-10-26T17:00:57.486ZZ
73102,Oklahoma City,OK,3953 Elm St,A,D,C,1,3.5,4.5,332,0.83,2025-10-26T17:00:57.486ZZ
33132,Miami,FL,8696 Main St,F,B,C,29.9,101.4,131.3,1100,0.94,2025-10-26T17:00:57.486ZZ
33101,Miami,FL,775 Canal St,D,C,B,34.1,89.2,123.3,813,0.8,2025-10-26T17:00:57.486ZZ
10003,New York,NY,5158 Maple Ave,A,F,B,2.4,7.4,9.8,341,0.82,2025-10-26T17:00:57.486ZZ
94102,San Francisco,CA,5367 Peachtree St NE,A,C,D,2.2,8,10.2,341,0.93,2025-10-26T17:00:57.486ZZ
37203,Nashville,TN,2986 Collins Ave,D,D,D,18,61.9,79.9,836,0.88,2025-10-26T17:00:57.486ZZ
10001,New York,NY,6275 Main St,C,D,B,13.9,47.3,61.2,546,0.81,2025-10-26T17:00:57.486ZZ
94102,San Francisco,CA,6657 Fulton St,B,F,D,9.3,27.2,36.5,483,0.95,2025-10-26T17:00:57.486ZZ
80202,Denver,CO,2418 Collins Ave,C,C,C,4.7,16.8,21.5,373,0.81,2025-10-26T17:00:57.486ZZ
72201,Little Rock,AR,6173 Maple Ave,C,D,C,8.4,29,37.4,430,0.81,2025-10-26T17:00:57.486ZZ
90011,Los Angeles,CA,2592 Pine St,D,C,C,28.7,80.4,109.1,846,0.86,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,834 Peachtree St NE,D,F,D,27.1,86.5,113.6,1179,0.89,2025-10-26T17:00:57.486ZZ
85001,Phoenix,AZ,9901 Fulton St,C,B,A,18.4,53,71.4,842,0.94,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,980 Pine St,B,B,C,6.7,25.8,32.5,492,0.85,2025-10-26T17:00:57.486ZZ
72201,Little Rock,AR,2727 Canal St,C,C,D,5.7,19.3,25,477,0.95,2025-10-26T17:00:57.486ZZ
20001,Washington,DC,2528 Maple Ave,C,F,D,14.7,50.6,65.3,537,0.92,2025-10-26T17:00:57.486ZZ
10001,New York,NY,3693 Fulton St,A,C,B,3.7,11,14.7,405,0.85,2025-10-26T17:00:57.486ZZ
48201,Detroit,MI,8470 Canal St,B,F,C,3.5,12.8,16.3,359,0.87,2025-10-26T17:00:57.486ZZ
80202,Denver,CO,8907 Mission St,C,D,C,19.6,54.2,73.8,577,0.95,2025-10-26T17:00:57.486ZZ
73102,Oklahoma City,OK,3444 1st Ave,C,C,D,14.1,35.5,49.6,636,0.83,2025-10-26T17:00:57.486ZZ
20001,Washington,DC,3457 Peachtree St NE,D,B,D,13.9,39.9,53.8,535,0.94,2025-10-26T17:00:57.486ZZ
19104,Philadelphia,PA,4955 Lexington Ave,B,C,C,9.1,27.5,36.6,508,0.94,2025-10-26T17:00:57.486ZZ
73102,Oklahoma City,OK,8212 Elm St,F,B,B,34.2,86.2,120.4,1236,0.83,2025-10-26T17:00:57.486ZZ
94102,San Francisco,CA,637 Canal St,B,B,D,8.6,27.8,36.4,431,0.84,2025-10-26T17:00:57.486ZZ
80202,Denver,CO,5617 Peachtree St NE,D,B,F,28.4,109.4,137.8,1161,0.9,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,5265 Mission St,D,A,D,31.2,88.5,119.7,946,0.94,2025-10-26T17:00:57.486ZZ
10001,New York,NY,491 Main St,C,A,B,8.9,28.5,37.4,527,0.89,2025-10-26T17:00:57.486ZZ
60601,Chicago,IL,3150 Broadway,C,A,B,9.4,25.9,35.3,527,0.86,2025-10-26T17:00:57.486ZZ
45202,Cincinnati,OH,1658 Washington Ave,F,F,F,23.4,77.1,100.5,1057,0.83,2025-10-26T17:00:57.486ZZ
90011,Los Angeles,CA,3391 Market St,C,F,B,6,18.3,24.3,393,0.9,2025-10-26T17:00:57.486ZZ
90001,Los Angeles,CA,9147 Oak St,D,C,A,19,60.8,79.8,876,0.86,2025-10-26T17:00:57.486ZZ
72201,Little Rock,AR,938 Pine St,A,D,D,4.4,14.4,18.8,380,0.88,2025-10-26T17:00:57.486ZZ
20001,Washington,DC,4106 Main St,F,F,B,35.3,118.3,153.6,976,0.92,2025-10-26T17:00:57.486ZZ
33132,Miami,FL,6234 Main St,D,C,D,14,41.9,55.9,703,0.83,2025-10-26T17:00:57.487ZZ
90011,Los Angeles,CA,3229 1st Ave,D,C,C,17.9,56.4,74.3,556,0.92,2025-10-26T17:00:57.487ZZ
90001,Los Angeles,CA,1828 Collins Ave,B,B,C,5.9,19.6,25.5,459,0.92,2025-10-26T17:00:57.487ZZ
30303,Atlanta,GA,4791 Main St,B,D,B,9.3,25.4,34.7,431,0.95,2025-10-26T17:00:57.487ZZ
77002,Houston,TX,5033 1st Ave,C,D,B,5.6,17.9,23.5,461,0.82,2025-10-26T17:00:57.487ZZ
10003,New York,NY,3427 Canal St,A,B,C,1,3.6,4.6,329,0.82,2025-10-26T17:00:57.487ZZ
11211,Brooklyn,NY,1443 Cedar St,D,C,D,21.1,69.9,91,791,0.85,2025-10-26T17:00:57.487ZZ
94102,San Francisco,CA,8586 Oak St,D,C,F,32.8,112.7,145.5,957,0.84,2025-10-26T17:00:57.487ZZ
72201,Little Rock,AR,8997 Main St,C,D,D,8,22.8,30.8,450,0.93,2025-10-26T17:00:57.487ZZ
37203,Nashville,TN,6949 Main St,A,A,A,4.4,11.6,16,385,0.82,2025-10-26T17:00:57.487ZZ
80202,Denver,CO,9447 Market St,C,F,D,16.5,47.2,63.7,557,0.87,2025-10-26T17:00:57.487ZZ
19104,Philadelphia,PA,6256 Washington Ave,A,C,C,1.7,4.8,6.5,334,0.87,2025-10-26T17:00:57.487ZZ
90001,Los Angeles,CA,4 1st Ave,D,A,B,7.8,20,27.8,385,0.92,2025-10-26T17:00:57.487ZZ
75201,Dallas,TX,8136 Cedar St,F,B,D,37.8,103,140.8,865,0.87,2025-10-26T17:00:57.487ZZ
02115,Boston,MA,2134 Pine St,F,D,F,19.4,76.3,95.7,982,0.92,2025-10-26T17:00:57.487ZZ
90001,Los Angeles,CA,9898 1st Ave,B,C,D,7.9,26.7,34.6,521,0.88,2025-10-26T17:00:57.487ZZ
37203,Nashville,TN,9846 Peachtree St NE,A,A,B,4.7,14.3,19,450,0.85,2025-10-26T17:00:57.487ZZ
75201,Dallas,TX,4690 Washington Ave,B,D,F,2.5,9.9,12.4,356,0.81,2025-10-26T17:00:57.487ZZ
45202,Cincinnati,OH,2 Lexington Ave,F,A,C,23.6,85.1,108.7,761,0.92,2025-10-26T17:00:57.487ZZ
20001,Washington,DC,9973 Mission St,C,D,C,6.4,16.4,22.8,471,0.93,2025-10-26T17:00:57.487ZZ
98101,Seattle,WA,2807 Main St,B,A,D,7.8,30.7,38.5,516,0.9,2025-10-26T17:00:57.487ZZ
73102,Oklahoma City,OK,9899 Pine St,D,C,C,14.9,58.5,73.4,883,0.81,2025-10-26T17:00:57.487ZZ
33101,Miami,FL,2579 Cedar St,C,F,D,16.8,58,74.8,746,0.89,2025-10-26T17:00:57.487ZZ
11211,Brooklyn,NY,8965 Main St,B,D,D,9.6,27.8,37.4,596,0.88,2025-10-26T17:00:57.487ZZ
20001,Washington,DC,9984 Canal St,B,D,D,4.5,12.1,16.6,366,0.87,2025-10-26T17:00:57.487ZZ
02115,Boston,MA,5035 Fulton St,C,C,D,16.3,46.7,63,598,0.86,2025-10-26T17:00:57.487ZZ
11201,Brooklyn,NY,6339 Oak St,F,B,B,10.1,40.1,50.2,485,0.83,2025-10-26T17:00:57.487ZZ
20001,Washington,DC,9099 Elm St,C,C,D,9.6,33.4,43,598,0.91,2025-10-26T17:00:57.487ZZ
90011,Los Angeles,CA,5558 Canal St,B,B,C,9.4,27.9,37.3,466,0.95,2025-10-26T17:00:57.487ZZ
33132,Miami,FL,489 Mission St,D,B,C,15.5,50.3,65.8,754,0.86,2025-10-26T17:00:57.487ZZ
19104,Philadelphia,PA,1350 Collins Ave,A,D,C,2.6,9.3,11.9,355,0.86,2025-10-26T17:00:57.487ZZ
02115,Boston,MA,8368 Lexington Ave,D,B,C,7.7,30.2,37.9,562,0.84,2025-10-26T17:00:57.487ZZ
10003,New York,NY,3555 Broadway,B,B,D,6.8,17.2,24,388,0.88,2025-10-26T17:00:57.487ZZ
75201,Dallas,TX,2187 Cedar St,D,C,C,28.5,97.1,125.6,1245,0.86,2025-10-26T17:00:57.487ZZ
75201,Dallas,TX,3042 Lexington Ave,C,D,C,15.2,54.4,69.6,841,0.94,2025-10-26T17:00:57.487ZZ
45202,Cincinnati,OH,541 Maple Ave,B,C,C,3.8,12.5,16.3,373,0.88,2025-10-26T17:00:57.487ZZ
19104,Philadelphia,PA,3861 Oak St,B,D,B,5,13.4,18.4,383,0.84,2025-10-26T17:00:57.487ZZ
72201,Little Rock,AR,6296 Peachtree St NE,B,F,B,8.6,22.1,30.7,478,0.86,2025-10-26T17:00:57.487ZZ
94102,San Francisco,CA,668 Cedar St,C,A,D,8.2,20.7,28.9,418,0.93,2025-10-26T17:00:57.487ZZ
64106,Kansas City,MO,6638 Oak St,B,D,C,8.6,21.9,30.5,393,0.8,2025-10-26T17:00:57.487ZZ
30303,Atlanta,GA,8831 Canal St,C,C,C,13.5,45.7,59.2,598,0.81,2025-10-26T17:00:57.487ZZ
10003,New York,NY,5827 Lexington Ave,B,C,C,6.3,23.1,29.4,468,0.81,2025-10-26T17:00:57.487ZZ
11201,Brooklyn,NY,6744 Maple Ave,C,C,F,18,71.3,89.3,817,0.93,2025-10-26T17:00:57.487ZZ
98101,Seattle,WA,9171 Cedar St,C,F,B,6,19.1,25.1,490,0.9,2025-10-26T17:00:57.487ZZ
10002,New York,NY,2872 Peachtree St NE,B,A,B,3,9.7,12.7,342,0.84,2025-10-26T17:00:57.487ZZ
94103,San Francisco,CA,4979 Cedar St,A,D,B,2,5.9,7.9,350,0.94,2025-10-26T17:00:57.487ZZ
90001,Los Angeles,CA,4626 1st Ave,D,C,D,13.2,52.7,65.9,561,0.82,2025-10-26T17:00:57.487ZZ
10003,New York,NY,3539 Mission St,D,C,D,27.6,82.9,110.5,634,0.85,2025-10-26T17:00:57.487ZZ
60601,Chicago,IL,1763 Oak St,B,C,F,4.7,14.5,19.2,358,0.94,2025-10-26T17:00:57.487ZZ
94102,San Francisco,CA,9599 Broadway,D,D,B,26.1,75.1,101.2,1064,0.88,2025-10-26T17:00:57.487ZZ
73102,Oklahoma City,OK,7833 Collins Ave,C,D,F,17.1,55.3,72.4,548,0.9,2025-10-26T17:00:57.487ZZ
73102,Oklahoma City,OK,3143 Lexington Ave,C,C,C,4.4,17.1,21.5,444,0.91,2025-10-26T17:00:57.487ZZ
37203,Nashville,TN,240 Market St,D,C,B,12.8,42.1,54.9,521,0.82,2025-10-26T17:00:57.487ZZ
90011,Los Angeles,CA,9204 Market St,D,C,F,22.5,89.8,112.3,945,0.94,2025-10-26T17:00:57.487ZZ
98101,Seattle,WA,6219 Main St,A,C,C,1.4,5.5,6.9,336,0.88,2025-10-26T17:00:57.487ZZ
02115,Boston,MA,1143 Canal St,C,D,D,11.1,43.5,54.6,619,0.95,2025-10-26T17:00:57.487ZZ
96813,Honolulu,HI,6883 Maple Ave,D,C,D,25.3,92.1,117.4,997,0.81,2025-10-26T17:00:57.487ZZ
75201,Dallas,TX,5962 Canal St,F,A,D,31.3,121.8,153.1,950,0.93,2025-10-26T17:00:57.487ZZ
73102,Oklahoma City,OK,9201 Washington Ave,C,A,D,18.4,57.1,75.5,872,0.83,2025-10-26T17:00:57.487ZZ
33101,Miami,FL,40 Cedar St,C,D,B,6.2,21.7,27.9,470,0.84,2025-10-26T17:00:57.487ZZ
33101,Miami,FL,9914 1st Ave,C,F,C,10.7,40.5,51.2,639,0.91,2025-10-26T17:00:57.487ZZ
33132,Miami,FL,6588 Elm St,C,C,F,16.8,62.8,79.6,856,0.85,2025-10-26T17:00:57.487ZZ
64106,Kansas City,MO,5193 Market St,F,C,D,49.2,173.9,223.1,1377,0.95,2025-10-26T17:00:57.487ZZ
90001,Los Angeles,CA,872 Broadway,C,C,B,7.6,30.1,37.7,443,0.85,2025-10-26T17:00:57.487ZZ
10003,New York,NY,2616 Fulton St,B,C,B,2,7.1,9.1,344,0.92,2025-10-26T17:00:57.487ZZ
60601,Chicago,IL,2237 Collins Ave,F,F,C,35,118.2,153.2,1277,0.89,2025-10-26T17:00:57.487ZZ
20001,Washington,DC,8668 Cedar St,D,F,D,17.7,66.7,84.4,918,0.93,2025-10-26T17:00:57.487ZZ
64106,Kansas City,MO,9876 Washington Ave,C,D,C,17.5,56,73.5,773,0.95,2025-10-26T17:00:57.487ZZ
77002,Houston,TX,9285 Collins Ave,D,C,A,26,83.9,109.9,1169,0.92,2025-10-26T17:00:57.487ZZ
33132,Miami,FL,141 Pine St,C,C,C,15.7,59.2,74.9,780,0.94,2025-10-26T17:00:57.487ZZ
73301,Austin,TX,5812 Mission St,D,D,A,20.1,79,99.1,603,0.93,2025-10-26T17:00:57.487ZZ
